epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,163.241,1.86566,2.9354,1.83426,0.62444,0.34861,0.42244,0.19978,1.92506,2.85053,1.91958,0.000664991,0.000664991,0.000664991
3,218.35,1.90047,2.67672,1.90196,0.45726,0.44723,0.45466,0.25659,1.88957,2.55722,1.93796,0.00088893,0.00088893,0.00088893
4,272.967,1.84798,2.4132,1.84656,0.58904,0.51081,0.53021,0.31074,1.78469,2.21879,1.83734,0.000781033,0.000781033,0.000781033
5,328.52,1.7941,2.20178,1.82858,0.61606,0.60017,0.59542,0.367,1.68933,1.98785,1.72743,0.000671044,0.000671044,0.000671044
6,400.399,1.74416,2.03272,1.76958,0.67787,0.62344,0.65489,0.41472,1.57109,1.6784,1.61175,0.000561055,0.000561055,0.000561055
7,462.524,1.66644,1.87217,1.70093,0.69644,0.68447,0.70715,0.43195,1.58796,1.48894,1.62317,0.000451066,0.000451066,0.000451066
8,522.436,1.63603,1.77613,1.68739,0.73386,0.69892,0.7275,0.46624,1.4989,1.39705,1.55181,0.000341077,0.000341077,0.000341077
9,584.928,1.5909,1.61034,1.62305,0.76293,0.72611,0.76823,0.50191,1.42734,1.26706,1.47812,0.000231088,0.000231088,0.000231088
10,649.312,1.5513,1.51297,1.60022,0.78664,0.76683,0.80124,0.52622,1.3943,1.19531,1.4506,0.000121099,0.000121099,0.000121099
1,101.88,1.81278,3.59364,1.79804,0.63011,0.3829,0.41722,0.26504,1.6965,2.29812,1.67956,0.000331019,0.000331019,0.000331019
2,156.651,1.81884,2.95133,1.79591,0.57939,0.38553,0.38578,0.21545,1.9371,3.96326,2.02127,0.000598581,0.000598581,0.000598581
3,210.488,1.84335,2.69104,1.85393,0.55844,0.50229,0.52654,0.31897,1.83048,2.11713,1.86021,0.000800144,0.000800144,0.000800144
4,261.745,1.84309,2.42798,1.84214,0.52681,0.56657,0.55949,0.32734,1.78102,1.99726,1.79744,0.000703,0.000703,0.000703
5,314.212,1.78255,2.21138,1.8152,0.71891,0.564,0.62496,0.40998,1.65975,1.91911,1.70836,0.000604,0.000604,0.000604
6,371.953,1.7203,2.03283,1.75674,0.66003,0.62063,0.66591,0.42214,1.59406,1.644,1.60973,0.000505,0.000505,0.000505
7,424.303,1.66833,1.8592,1.7118,0.68362,0.73244,0.74228,0.47211,1.53747,1.43615,1.56875,0.000406,0.000406,0.000406
8,475.921,1.61424,1.70519,1.64834,0.74517,0.73671,0.7856,0.50851,1.45788,1.28053,1.49112,0.000307,0.000307,0.000307
9,541.092,1.57457,1.5971,1.60426,0.76238,0.76176,0.80051,0.53551,1.41796,1.23958,1.45168,0.000208,0.000208,0.000208
10,616.756,1.51471,1.52594,1.56257,0.76777,0.79202,0.82296,0.5487,1.36944,1.18209,1.42385,0.000109,0.000109,0.000109
1,97.5813,1.81278,3.59364,1.79804,0.63011,0.3829,0.41722,0.26504,1.6965,2.29812,1.67956,0.000331019,0.000331019,0.000331019
2,152.122,1.81884,2.95133,1.79591,0.57939,0.38553,0.38578,0.21545,1.9371,3.96326,2.02127,0.000598581,0.000598581,0.000598581
3,213.024,1.84335,2.69104,1.85393,0.55844,0.50229,0.52654,0.31897,1.83048,2.11713,1.86021,0.000800144,0.000800144,0.000800144
4,273.837,1.84309,2.42798,1.84214,0.52681,0.56657,0.55949,0.32734,1.78102,1.99726,1.79744,0.000703,0.000703,0.000703
5,333.976,1.78255,2.21138,1.8152,0.71891,0.564,0.62496,0.40998,1.65975,1.91911,1.70836,0.000604,0.000604,0.000604
6,394.212,1.7203,2.03283,1.75674,0.66003,0.62063,0.66591,0.42214,1.59406,1.644,1.60973,0.000505,0.000505,0.000505
7,455.124,1.66833,1.8592,1.7118,0.68362,0.73244,0.74228,0.47211,1.53747,1.43615,1.56875,0.000406,0.000406,0.000406
8,511.85,1.61424,1.70519,1.64834,0.74517,0.73671,0.7856,0.50851,1.45788,1.28053,1.49112,0.000307,0.000307,0.000307
9,568.252,1.57457,1.5971,1.60426,0.76238,0.76176,0.80051,0.53551,1.41796,1.23958,1.45168,0.000208,0.000208,0.000208
10,625.409,1.51471,1.52594,1.56257,0.76777,0.79202,0.82296,0.5487,1.36944,1.18209,1.42385,0.000109,0.000109,0.000109
1,120.833,1.81278,3.59364,1.79804,0.63011,0.3829,0.41722,0.26504,1.6965,2.29812,1.67956,0.000331019,0.000331019,0.000331019
2,175.071,1.81884,2.95133,1.79591,0.57939,0.38553,0.38578,0.21545,1.9371,3.96326,2.02127,0.000598581,0.000598581,0.000598581
3,229.767,1.84335,2.69104,1.85393,0.55844,0.50229,0.52654,0.31897,1.83048,2.11713,1.86021,0.000800144,0.000800144,0.000800144
4,283.577,1.84309,2.42798,1.84214,0.52681,0.56657,0.55949,0.32734,1.78102,1.99726,1.79744,0.000703,0.000703,0.000703
